"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"129",30,4,0,0.333333333333333,4.36281741610077,0.493473753450577,-0.141465089964978,0.0241389310727433,0.609705366374612,0
"130",30,2,0,0.333333333333333,1.57244027599959,0.431756935788638,-0.110780693802467,0.410099736029574,0.294579999593811,0.26
"131",30,3,0,0.333333333333333,2.52066170044543,0.460088729724372,-0.110655184945979,0.402371794853472,0.269661655432548,0.289
"132",30,4,0,0.333333333333333,4.07900633654543,0.478583038048035,-0.111720978533188,0.406462812588576,0.248537286152391,0
"133",30,2,0,0.333333333333333,1.61182509833269,0.444778152180753,0.0328714055331554,0.186463445461532,0.345999687005774,0.346
"134",30,3,0,0.333333333333333,2.56381338764562,0.470800105240268,0.0363855549087158,0.189637023350243,0.319512892871871,0.312
"135",30,4,0,0.333333333333333,4.06043218834042,0.490228229952545,0.0352401980815367,0.187726242539701,0.296172288764228,0
"136",30,2,0,0.333333333333333,1.63200481595685,0.456937381516593,0.0812253936317427,-0.28651023003472,0.319638972836316,0.357
"137",30,3,0,0.333333333333333,2.6098566983762,0.480946982682593,0.0826194495346482,-0.287029476329275,0.298479597200988,0
"138",30,4,0,0.333333333333333,4.1822502630881,0.501729277781045,0.0754159573050353,-0.284016125004989,0.277010877270858,0.406
"139",30,2,0,0.333333333333333,1.91187530948853,0.31354496767084,-0.401103443740552,-1.01099261515875,1.09903333372848,0.752
"140",30,3,0,0.333333333333333,2.84626380163753,0.313605262109446,-0.403445863893719,-1.02360634433806,1.08988036192621,0.961
"141",30,4,0,0.333333333333333,4.43746910279004,0.322315273961664,-0.397191117042005,-1.02008309255329,1.06994221891015,0.66
"142",30,2,0,0.333333333333333,1.60487496676775,0.475858380859333,0.188814273917322,0.0895704993792422,0.29036987412168,0.306
"143",30,3,0,0.333333333333333,2.59205318808787,0.497575456091261,0.184731396183385,0.0898536609209492,0.270249634323729,0.356
"144",30,4,0,0.333333333333333,4.15664918966943,0.529223941487251,0.189007866732627,0.0898502093543532,0.249173621512006,0.343
"145",30,2,0,0.333333333333333,1.55673995947787,0.529673675369354,0.233694170038302,1.34732470243904,0.239969693868116,0.117
"146",30,3,0,0.333333333333333,2.51788382621753,0.566730992891422,0.231056854213468,1.34759966578011,0.213637830322739,0.282
"147",30,4,0,0.333333333333333,4.09665168182334,0.589439523837105,0.234822776339134,1.35092326964092,0.199606623646626,0.297
"148",30,2,0,0.333333333333333,1.62145970161139,0.449644419028616,-0.0731961235878928,0.372000413193111,0.411641041546895,0.406
"149",30,3,0,0.333333333333333,2.55131573576952,0.470735975792356,-0.0762859871054,0.378623522434417,0.385973194813687,0
"150",30,4,0,0.333333333333333,4.13849041136556,0.502527562717931,-0.075196706789202,0.378538562134531,0.363886681352546,0.373
"151",30,2,0.5,0.333333333333333,1.6256457095645,0.538867708117865,-0.629210098653811,-0.62747359215976,0.284270433470827,0.284
"152",30,3,0.5,0.333333333333333,2.60277736189585,0.57733243544913,-0.626593261939867,-0.632729734760716,0.263721832581565,0.315
"153",30,4,0.5,0.333333333333333,4.17279804694986,0.596840527482913,-0.625286196384729,-0.633315271406126,0.246547051688731,0.079
"154",30,2,0.5,0.333333333333333,1.64408736587747,0.478203038208374,-0.317869235426493,-0.502658806114486,0.298255882663522,0
"155",30,3,0.5,0.333333333333333,2.62578844048615,0.503001087182548,-0.321624529258973,-0.506068755476132,0.280685523055075,0.252
"156",30,4,0.5,0.333333333333333,4.18766827551153,0.515978044270245,-0.322127129316563,-0.507199832665799,0.259572158050624,0
"157",30,2,0.5,0.333333333333333,1.63117040823933,0.414180849535775,-0.160686854531857,0.0677653454457941,0.441071845274655,0.42
"158",30,3,0.5,0.333333333333333,2.60412750452427,0.432254622377125,-0.154567561518299,0.0676685622143349,0.415058698742787,0
"159",30,4,0.5,0.333333333333333,4.15856462354259,0.450350826046603,-0.159210459644945,0.0677447531906465,0.386424575065009,0.375
"160",30,2,0.5,0.333333333333333,1.64760691337184,0.507557206438065,-0.240042621378544,-0.470532194932132,0.326493944931172,8.687
"161",30,3,0.5,0.333333333333333,2.66959285649316,0.543612261204142,-0.237324095165466,-0.468457676450621,0.302518004534423,0.405
"162",30,4,0.5,0.333333333333333,4.15541521757456,0.558319546639802,-0.238391673326636,-0.475147679720085,0.284996162621734,0
"163",30,2,0.5,0.333333333333333,1.5979948772916,0.499372921062971,0.697370408451371,1.81560830246557,0.284404778651663,0
"164",30,3,0.5,0.333333333333333,2.60785008898001,0.525484746763682,0.701187116929696,1.81242731543023,0.266301382414566,0.278
"165",30,4,0.5,0.333333333333333,4.13167893216673,0.548015076793965,0.701783014821989,1.81404516850369,0.248751032853538,0.324
"166",30,2,0.5,0.333333333333333,1.55514776998113,0.464595494082915,0.312167764606065,-0.097585666184845,0.282097989092456,0.319
"167",30,3,0.5,0.333333333333333,2.50974257725362,0.498324358500052,0.317306070828787,-0.0969139422404476,0.257056787762689,0.246
