epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.88,0.23709553458954613,0.24833333333333332,-0.04630877026515924,ecdf,0.007888047685980119,1,500,d0,1
0.89,0.23968627279216423,0.25333333333333335,-0.055375273096490846,ecdf,0.007940519621023039,1,500,d0,1
0.9,0.2422736084010474,0.25866666666666666,-0.06547253079274819,ecdf,0.007994961376229869,1,500,d0,1
0.91,0.24485750902544018,0.2623333333333333,-0.06893951421154638,ecdf,0.00803149125952658,1,500,d0,1
0.92,0.24743794245790948,0.265,-0.0685700129611908,ecdf,0.008057605103254937,1,500,d0,1
0.93,0.2500148766757213,0.269,-0.07319095680716109,ecdf,0.008096069004976015,1,500,d0,1
0.9400000000000001,0.2525882798421982,0.274,-0.0813672956391644,ecdf,0.00814297243026157,1,500,d0,1
0.9500000000000001,0.2551581203080574,0.2773333333333333,-0.08333671952517517,ecdf,0.00817352546448095,1,500,d0,1
0.9600000000000001,0.25772436661272835,0.28,-0.08289893579879068,ecdf,0.00819756061276768,1,500,d0,1
0.97,0.2602869874856519,0.283,-0.08366207734310087,ecdf,0.008224171690814826,1,500,d0,1
0.98,0.2628459518475579,0.289,-0.09485856196401991,ecdf,0.008276049782353898,1,500,d0,1
0.99,0.26540122881172484,0.29333333333333333,-0.10006686688011165,ecdf,0.00831241819787096,1,500,d0,1
1,0.2679527876852174,0.299,-0.1096327737524346,ecdf,0.008358608337117688,1,500,d0,1
